genre_category,artist_genres
Other,zimdancehall
Hip-Hop,viral rap
Pop,viral pop
Other,video game music
International,venezuelan hip hop
Other,vapor twitch
International,vancouver indie
International,urbano espanol
Hip-Hop,"underground hip hop, vapor trap"
Hip-Hop,underground hip hop
International,uk pop
International,uk hip hop
International,uk funky
International,uk dance
International,"uk contemporary r&b, uk pop"
International,"uk contemporary r&b, uk dance, uk pop"
International,"turkish hip hop, turkish trap pop"
International,"turkish hip hop, turkish trap"
Other,tropical house
Hip-Hop,"trap, viral rap"
Hip-Hop,trap soul
Hip-Hop,"trap queen, viral rap"
Hip-Hop,trap queen
International,"trap latino, trap venezolano, venezuelan hip hop"
International,trap latino
International,"trap chileno, trap latino, urbano chileno, urbano espanol"
International,"trap chileno, trap latino, urbano chileno"
International,"trap argentino, trap triste"
International,"trap argentino, trap latino"
Hip-Hop,trap
International,"talent show, uk pop"
International,"swedish pop, tropical house"
International,swedish pop
International,swedish electropop
Other,"speedrun, video game music"
International,spanish pop
International,spanish indie pop
International,"south african hip hop, spiritual hip hop"
International,south african hip hop
Pop,social media pop
Other,"smooth jazz, smooth saxophone"
Other,slap house
Other,show tunes
Other,"sertanejo, sertanejo pop, sertanejo universitario"
Other,scandipop
Hip-Hop,san diego rap
Hip-Hop,sad rap
Hip-Hop,"sad lo-fi, sad rap"
Other,sad lo-fi
International,russian dance
Rock,"rock-and-roll, rockabilly"
International,rock en espanol
Other,ritmo kombina
International,"reggaeton, trap latino"
International,"reggaeton, reggaeton flow, trap latino"
International,"reggaeton, reggaeton flow, trap boricua, trap latino"
International,"reggaeton, reggaeton flow, trap argentino, trap latino"
International,"reggaeton, reggaeton colombiano, trap latino"
Other,"reggaeton, reggaeton colombiano"
International,"reggaeton flow, trap brasileiro"
Other,reggaeton flow
Hip-Hop,"rap, trap, vapor trap"
Hip-Hop,"rap, trap"
International,rap romantico
Hip-Hop,rap rock
Hip-Hop,rap kreyol
International,"rap canario, urbano espanol"
International,"r&b en espanol, reggaeton, trap latino"
International,"r&b en espanol, rap latina"
International,r&b en espanol
International,"r&b brasileiro, rap cearense, trap brasileiro"
International,"puerto rican pop, trap latino"
International,"puerto rican pop, reggaeton, trap latino"
Pop,post-teen pop
Other,"post-romantic era, ukrainian classical"
International,"pop, uk pop"
International,"pop, talent show, uk pop"
Hip-Hop,"pop, rap, trap"
Hip-Hop,"pop, rap"
Pop,"pop, r&b, urban contemporary"
Pop,"pop, r&b, uk contemporary r&b, uk pop"
Pop,"pop, r&b, uk contemporary r&b"
Pop,"pop, r&b, soul"
Hip-Hop,"pop, r&b, rap, urban contemporary"
Pop,"pop, r&b, rap, toronto rap, trap, urban contemporary"
Pop,"pop, r&b, rap, rap latina, trap queen"
Hip-Hop,"pop, r&b, rap"
Pop,"pop, r&b"
Pop,"pop, post-teen pop, uk pop"
Pop,"pop, post-teen pop, r&b"
Pop,"pop, post-teen pop"
Hip-Hop,"pop, pop rap, rhode island rap, viral rap"
Hip-Hop,"pop, pop rap, rap, viral rap"
Hip-Hop,"pop, pop rap, r&b"
Pop,"pop, pop r&b"
International,"pop venezolano, reggaeton, trap latino"
Pop,pop urbaine
Pop,pop soul
Pop,pop reggaeton
Pop,"pop rap, trap soul"
Pop,"pop rap, seattle hip hop"
Pop,"pop rap, reggae fusion"
Pop,"pop rap, rap, virginia hip hop"
Pop,"pop rap, rap, trap, viral trap"
Pop,"pop rap, rap, trap, viral rap"
Pop,pop rap
Pop,"pop r&b, pop rap, r&b"
Pop,pop r&b
Pop,pop punk
International,"pop flamenco, rumba, spanish pop rock"
Dance,pop edm
Pop,"pop dance, tropical house"
Pop,pop
Rock,"piano rock, viral pop"
Rock,"piano rock, pop, pop rock"
International,"perreo, reggaeton, reggaeton flow, trap latino"
International,"perreo, reggaeton, reggaeton flow"
Other,"permanent wave, pop"
International,"panamanian pop, reggaeton, trap latino"
Other,pagode
Other,"orchestral soundtrack, soundtrack"
Hip-Hop,"ohio hip hop, pop, pop rap"
Other,nz pop
Hip-Hop,"nyc rap, trap"
Hip-Hop,"nyc rap, pop rap, rap, southern hip hop, trap"
Hip-Hop,nyc rap
Other,nyc pop
International,"norwegian pop, tropical house"
International,norwegian pop
Hip-Hop,"north carolina hip hop, underground hip hop"
Hip-Hop,"north carolina hip hop, rap, trap"
Hip-Hop,north carolina hip hop
Other,new wave pop
Rock,"new romantic, new wave, new wave pop, permanent wave, soft rock, synthpop"
Hip-Hop,new jersey rap
International,"neoperreo, rap catala, rap latina, trap catala, urbano espanol"
International,"neo soul, uk contemporary r&b"
Other,"neo soul, pop soul, r&b"
Other,neo soul
Other,"neo mellow, singer-songwriter"
International,"neo mellow, pop, uk pop, viral pop"
International,"neo mellow, pop, uk pop"
Rock,"neo mellow, pop, pop rock"
Other,"neo mellow, neo soul, pop, pop soul, r&b, urban contemporary"
Other,musical advocacy
International,"musica jibara, puerto rican folk"
Other,musica canaria
Other,movie tunes
Other,"motown, soul"
Rock,"modern rock, rock"
Rock,"modern rock, post-grunge, rock"
Rock,"modern rock, pop"
Rock,modern rock
Other,"modern reggae, reggae, reggae fusion, roots reggae"
Other,modern reggae
Hip-Hop,"modern indie pop, viral rap"
Other,modern indie pop
International,"modern folk rock, stomp and holler, uk americana"
Rock,"modern alternative rock, modern rock, pop, shimmer pop"
Rock,"modern alternative rock, modern rock, pop, rock"
Hip-Hop,"modern alternative rock, modern rock, pop, pop rap, pop rock, rock, stomp pop"
